AGO1_label,AGO1,AGO2_label,AGO2,AGO3_label,AGO3,ALKBH5_label,ALKBH5,AUF1_label,AUF1,DGCR8_label,DGCR8,EIF4A3_label,EIF4A3,EWSR1_label,EWSR1,FMRP_label,FMRP,FOX2_label,FOX2,FUS_label,FUS,FXR1_label,FXR1,FXR2_label,FXR2,HNRNPC_label,HNRNPC,HUR_label,HUR,IGF2BP1_label,IGF2BP1,IGF2BP2_label,IGF2BP2,IGF2BP3_label,IGF2BP3,LIN28A_label,LIN28A,LIN28B_label,LIN28B,MOV10_label,MOV10,PTB_label,PTB,PUM2_label,PUM2,QKI_label,QKI,SFRS1_label,SFRS1,TAF15_label,TAF15,TDP43_label,TDP43,TIA1_label,TIA1,TIAL1_label,TIAL1,TNRC6_label,TNRC6,U2AF65_label,U2AF65,WTAP_label,WTAP,ZC3H7B_label,ZC3H7B,C17ORF85_label,C17ORF85,C22ORF28_label,C22ORF28,CAPRIN1_label,CAPRIN1,METTL3_label,METTL3
0,0.002494037,1,0.637531757,1,0.160138682,0,0.490789145,0,0.006413361,1,0.303530663,1,0.675500393,0,0.362285972,0,1.55E-06,0,0.027307577,1,0.770828843,0,0.056913372,0,0.740914881,0,0.000171519,1,0.672907174,0,0.008813571,0,1.22E-07,0,0.408646792,1,0.707751334,1,0.827601492,1,0.246226937,1,0.34082213,1,0.826012254,0,0.017799998,1,0.831048071,1,0.930889666,0,0.053003523,1,0.826682031,0,0.684240997,1,0.794861615,1,0.886345267,0,0.082332149,0,0.001086861,1,0.188494921,1,0.16448307,1,0.851008177,1,0.83654505
1,0.303646654,1,0.628799617,1,0.813069522,0,0.034347069,1,0.951788068,1,0.804134667,1,0.554955065,1,0.862935781,0,0.004912418,1,0.880809426,0,0.000422102,0,4.48E-10,1,0.891521156,1,6.79E-05,1,0.198681518,1,0.555225432,0,3.20E-05,0,0.586074948,1,0.712906718,0,0.768703282,0,0.41921863,0,0.542932272,0,1.24E-05,0,6.37E-05,0,1.08E-06,0,0.001271856,1,0.888403952,0,0.10753075,0,0.182450727,1,0.117408231,1,0.700825632,0,0.049047656,1,0.492561191,0,0.221476957,1,0.024857413,1,0.671607912,1,0.849471688
1,0.745809197,0,0.054255158,1,0.925548851,0,0.000393015,1,0.9479478,0,3.92E-06,0,0.475063354,1,0.893725395,1,0.62766099,0,0.562729359,1,0.191630363,1,0.960663259,0,0.08807335,0,0.010266374,1,0.622897565,0,0.665800691,1,0.772816777,0,0.616110146,0,0.623501897,1,0.002242284,1,0.495631933,1,0.647307992,0,4.14E-05,1,0.791308105,0,1.21E-07,0,1.40E-05,1,0.746586263,1,0.908745706,1,0.669120371,0,0.099828348,1,0.800819695,1,0.877488434,1,0.640925288,1,0.867565751,1,0.114858858,1,0.811252356,0,0.501758873
0,0.43397969,0,0.240576372,1,0.938952327,1,0.868962288,0,0.000104153,0,0.022265064,0,0.586765945,1,0.869189501,1,0.482230335,1,0.589589596,1,0.001208703,1,0.935129166,1,0.009150705,1,0.908841848,0,0.651103199,1,0.748627841,0,6.60E-05,0,0.362695336,0,0.224924877,0,1.95E-06,0,0.004874395,1,0.367686629,1,0.816244662,1,0.894699574,0,0.000180851,0,3.42E-05,1,0.830083668,0,1.19E-07,0,0.540548503,0,0.080006666,1,0.462926954,0,0.017213129,0,0.393795669,1,0.906286776,0,0.184111044,1,0.75273335,0,0.0006265
0,0.009503776,0,0.019093819,0,0.594004989,0,0.053097483,0,2.41E-07,0,0.019162569,1,0.504607141,0,0.000993573,0,0.294722885,0,0.000104924,1,0.679722667,1,0.967262447,0,0.592473388,1,0.939339697,1,0.470546991,1,0.555896282,1,0.779719114,0,0.013927537,1,0.604330957,0,0.484662622,1,0.574714363,0,0.023761179,1,0.851772845,1,0.864297152,0,0.012428783,1,0.947370946,1,0.864764988,0,0.258971661,0,0.523732305,1,0.899737656,0,0.00037095,0,0.056995839,0,0.000377853,1,0.731093764,0,1.30E-07,0,0.534553647,1,0.445805073
0,0.21432434,1,0.559670091,1,0.87872225,1,0.22413449,0,1.86E-08,1,0.75973326,1,0.420958549,1,0.869253755,0,0.001032742,1,0.899641454,1,0.297783136,1,0.902382135,0,0.089609399,1,0.668265522,1,0.717001736,1,0.700866818,1,0.727229655,0,0.149122089,1,0.616957605,0,0.428202659,1,0.711297214,1,0.50381285,1,0.714364171,0,0.451697618,1,0.700910687,1,0.950509131,1,0.001620164,0,2.49E-06,0,0.00979851,0,6.40E-05,0,0.01632911,0,0.049429238,0,4.37E-05,1,0.901788354,0,1.64E-07,0,0.4015387,0,0.436257482
0,9.36E-05,1,0.666971266,1,0.885959744,0,0.036870264,1,0.957923651,1,0.797868371,1,0.505950451,1,0.858597219,0,0.000495463,1,0.62456888,1,0.001469573,0,0.000287518,1,0.676975548,0,0.002214642,1,0.539255142,0,0.012451883,1,0.792633474,0,0.256469756,0,0.297401071,1,0.662080586,0,0.135725066,1,0.584867775,0,0.000283198,1,0.917015254,1,0.875898719,0,3.65E-06,0,0.099346884,0,2.14E-07,0,0.049353048,0,0.779773772,1,0.164845571,0,0.704482019,0,0.133941621,0,0.001859323,1,1.75E-06,1,0.20625113,0,0.000352598
0,9.02E-05,1,0.591584384,1,0.851095676,1,0.909424245,1,0.961708546,1,0.675021231,0,0.618992805,1,0.831679702,0,0.003627673,1,0.661758006,1,0.641774476,0,0.000278627,0,0.517704308,0,0.006562745,0,0.000818281,0,0.0631565,0,0.10550949,0,0.013322331,0,0.003101959,1,0.752540171,1,0.734540343,0,0.169383153,1,0.902723134,0,0.041101955,0,0.09328144,0,0.00290184,1,0.000157121,0,2.42E-08,0,0.034539863,0,0.114556581,0,4.66E-05,1,0.893006563,0,0.013989707,1,0.255426019,1,0.922848344,1,0.729291558,1,0.002029916
1,0.73511982,0,0.312053472,1,0.877342582,1,0.060935196,1,0.922695398,1,0.793664932,0,0.143474832,0,0.002324981,0,0.138577387,1,0.857806981,0,0.008519182,0,0.002325474,1,0.892699122,0,2.75E-08,0,0.478531331,0,0.036535177,1,0.642693877,1,0.600874603,0,0.080749795,1,0.665637136,0,5.28E-07,0,0.510105014,1,0.820379138,1,0.87250334,0,0.000486363,0,0.00038352,1,0.262480646,0,0.007954457,1,0.518328309,0,2.04E-05,1,0.784599006,0,0.000405875,0,0.349875152,1,0.874213994,1,0.930236459,0,0.027855648,0,0.045469429
0,0.058255538,0,0.550847054,0,0.004458723,1,0.839622498,1,0.961951256,0,0.722845376,1,0.457948059,0,1.34E-05,1,0.636453509,0,0.001112558,0,0.432126492,1,0.912410259,1,0.780151367,1,0.924552917,1,0.637118161,1,0.276358157,1,0.682718813,0,0.635735929,1,0.645961702,1,0.722995043,1,0.697602451,0,0.010829499,1,0.867769718,1,0.879152536,0,0.345701694,1,0.968023181,1,0.81454736,1,0.909564495,1,0.575073004,1,0.881725371,1,0.83819598,1,0.118523739,1,0.713254631,1,0.161067918,1,0.955085754,1,0.809483707,1,0.747834623
0,0.001927216,0,0.018739192,0,0.07580293,0,0.071601078,0,5.24E-08,1,0.65457499,0,0.226066962,1,0.869875252,1,0.33264485,0,0.365999699,1,0.131514505,1,0.285796255,1,0.839603722,0,0.448624939,1,0.65748322,1,0.659599304,0,0.161679417,1,0.594286978,0,0.293061137,1,0.736759603,0,0.001174323,1,0.692557693,0,0.000172978,1,0.860437512,1,0.893496096,0,1.09E-06,0,7.80E-06,1,0.918837905,0,0.875849009,0,0.108654685,1,0.028267637,0,0.147639975,1,0.016033446,1,0.732402027,0,6.34E-11,0,0.79573065,1,0.383162886
0,0.156575024,0,0.039997339,0,0.030041452,1,0.841915071,1,0.971735418,0,0.745921791,0,0.060970161,1,0.025210725,1,0.515262663,0,0.479766995,0,0.445327759,0,1.25E-05,1,0.926046968,0,0.488683701,0,0.050786354,0,0.587957203,1,0.651759326,1,0.225469187,1,0.757386148,1,0.780009329,0,0.36109367,1,0.617133379,1,0.833149195,1,0.925234437,0,0.001368737,1,0.940642834,1,0.890904367,1,0.841231704,1,0.880052984,0,6.48E-05,0,0.047828145,1,0.369435906,1,0.746758163,1,0.886692464,0,0.77487278,1,0.802504063,1,0.778571784
1,0.632716656,1,0.563912988,0,0.000324621,1,0.828672826,1,0.877595365,1,0.047799509,0,0.072217308,1,0.395174384,0,0.09437044,0,0.036994155,0,0.111697152,0,0.017556001,0,2.84E-07,1,0.92407006,1,0.254194349,0,0.372912705,1,0.349985868,0,0.60507232,1,0.118658707,0,0.287242502,0,0.124933928,1,0.214383915,0,3.25E-05,1,0.857495546,1,0.882719636,0,0.000543242,1,0.824764431,1,0.849445164,1,0.291483879,1,0.847470045,0,0.000555989,1,0.891657293,0,0.007177145,1,0.040335596,1,0.848845661,0,0.083065301,0,0.009847238
1,0.808441758,1,0.127137363,1,0.543312609,1,0.864495516,1,0.940038741,1,0.830774665,1,0.594261587,0,1.50E-05,1,0.58873558,0,0.002043449,0,0.124760538,1,0.963077843,0,0.004167715,0,0.000859296,0,0.041988123,0,0.24257043,1,0.731862545,1,0.573017418,1,0.33324331,1,0.796554267,1,0.492231101,1,0.277141213,0,3.52E-06,1,0.812211096,1,0.928396702,0,6.59E-06,0,9.99E-05,1,0.890007436,1,0.894282341,1,0.354071736,1,0.749949515,0,6.50E-05,0,0.201215237,0,0.017503446,1,0.930875301,1,0.771140158,1,0.873707652
0,0.439007908,0,0.514805675,1,0.860087037,0,5.29E-05,0,0.041071802,1,0.838346243,1,0.61903441,1,0.85187906,1,0.587839067,0,0.00197537,0,0.001343463,0,0.105756097,1,0.90300405,1,0.93878758,0,0.190560147,0,0.492665112,0,0.000157208,1,0.624394476,1,0.498698592,0,0.400288403,1,0.630698502,1,0.634104371,0,0.000315754,1,0.923277318,0,5.77E-08,1,0.90879643,1,0.85989511,0,0.035427596,1,0.740459204,0,0.055097982,0,0.006556654,0,0.083657198,1,0.64345777,1,0.912296474,0,0.000173997,0,0.109403685,1,0.861377656
0,0.021736586,1,0.583153069,0,0.043394335,0,0.40665853,0,9.10E-08,1,0.777083695,0,0.021399746,1,0.868681312,1,0.569145381,1,0.823684335,1,0.332037479,0,0.001071984,1,0.515310884,0,0.000212573,0,0.229635015,0,0.12336842,1,0.719899595,0,0.385672301,0,0.104986966,0,0.034749057,1,0.611019552,1,0.582666159,0,0.001949821,0,0.005095045,0,0.00054827,1,0.953215897,1,0.900184035,0,0.886341751,0,0.187941745,1,0.319473296,1,0.747907817,1,0.293796986,1,0.72765547,1,0.890262067,0,2.11E-07,0,0.030942621,0,1.06E-07
